"GEO_ID","NAME","H8_001N",
"Geography","Geographic Area Name"," !!Total",
"0500000US01001","Autauga County, Alabama","58318",
"0500000US01003","Baldwin County, Alabama","228215",
"0500000US01005","Barbour County, Alabama","22506",
"0500000US01007","Bibb County, Alabama","20153",
"0500000US01009","Blount County, Alabama","58521",
"0500000US01011","Bullock County, Alabama","8653",
"0500000US01013","Butler County, Alabama","18770",
"0500000US01015","Calhoun County, Alabama","110821",
"0500000US01017","Chambers County, Alabama","33898",
"0500000US01019","Cherokee County, Alabama","24678",
"0500000US01021","Chilton County, Alabama","44632",
"0500000US01023","Choctaw County, Alabama","12599",
"0500000US01025","Clarke County, Alabama","22700",
"0500000US01027","Clay County, Alabama","13983",
"0500000US01029","Cleburne County, Alabama","14865",
"0500000US01031","Coffee County, Alabama","52708",
"0500000US01033","Colbert County, Alabama","56826",
"0500000US01035","Conecuh County, Alabama","11472",
"0500000US01037","Coosa County, Alabama","10081",
"0500000US01039","Covington County, Alabama","36796",
"0500000US01041","Crenshaw County, Alabama","13035",
"0500000US01043","Cullman County, Alabama","86594",
"0500000US01045","Dale County, Alabama","48544",
"0500000US01047","Dallas County, Alabama","37981",
"0500000US01049","DeKalb County, Alabama","70767",
"0500000US01051","Elmore County, Alabama","82166",
"0500000US01053","Escambia County, Alabama","34702",
"0500000US01055","Etowah County, Alabama","101808",
"0500000US01057","Fayette County, Alabama","16002",
"0500000US01059","Franklin County, Alabama","31696",
"0500000US01061","Geneva County, Alabama","26375",
"0500000US01063","Greene County, Alabama","7658",
"0500000US01065","Hale County, Alabama","14608",
"0500000US01067","Henry County, Alabama","17005",
"0500000US01069","Houston County, Alabama","106387",
"0500000US01071","Jackson County, Alabama","51971",
"0500000US01073","Jefferson County, Alabama","657707",
"0500000US01075","Lamar County, Alabama","13828",
"0500000US01077","Lauderdale County, Alabama","90532",
"0500000US01079","Lawrence County, Alabama","32846",
"0500000US01081","Lee County, Alabama","168868",
"0500000US01083","Limestone County, Alabama","100470",
"0500000US01085","Lowndes County, Alabama","10123",
"0500000US01087","Macon County, Alabama","17464",
"0500000US01089","Madison County, Alabama","378389",
"0500000US01091","Marengo County, Alabama","19096",
"0500000US01093","Marion County, Alabama","28580",
"0500000US01095","Marshall County, Alabama","96620",
"0500000US01097","Mobile County, Alabama","407064",
"0500000US01099","Monroe County, Alabama","19569",
"0500000US01101","Montgomery County, Alabama","220555",
"0500000US01103","Morgan County, Alabama","121147",
"0500000US01105","Perry County, Alabama","7979",
"0500000US01107","Pickens County, Alabama","17353",
"0500000US01109","Pike County, Alabama","30865",
"0500000US01111","Randolph County, Alabama","21551",
"0500000US01113","Russell County, Alabama","58626",
"0500000US01115","St. Clair County, Alabama","89010",
"0500000US01117","Shelby County, Alabama","219776",
"0500000US01119","Sumter County, Alabama","11280",
"0500000US01121","Talladega County, Alabama","78915",
"0500000US01123","Tallapoosa County, Alabama","40625",
"0500000US01125","Tuscaloosa County, Alabama","215921",
"0500000US01127","Walker County, Alabama","64276",
"0500000US01129","Washington County, Alabama","15268",
"0500000US01131","Wilcox County, Alabama","10369",
"0500000US01133","Winston County, Alabama","23179",
"0500000US02013","Aleutians East Borough, Alaska","1220",
"0500000US02016","Aleutians West Census Area, Alaska","2329",
"0500000US02020","Anchorage Municipality, Alaska","282198",
"0500000US02050","Bethel Census Area, Alaska","18211",
"0500000US02060","Bristol Bay Borough, Alaska","808",
"0500000US02063","Chugach Census Area, Alaska","6819",
"0500000US02066","Copper River Census Area, Alaska","2589",
"0500000US02068","Denali Borough, Alaska","1597",
"0500000US02070","Dillingham Census Area, Alaska","4781",
"0500000US02090","Fairbanks North Star Borough, Alaska","91670",
"0500000US02100","Haines Borough, Alaska","2048",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2342",
"0500000US02110","Juneau City and Borough, Alaska","31298",
"0500000US02122","Kenai Peninsula Borough, Alaska","56830",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13605",
"0500000US02150","Kodiak Island Borough, Alaska","12597",
"0500000US02158","Kusilvak Census Area, Alaska","8348",
"0500000US02164","Lake and Peninsula Borough, Alaska","1455",
"0500000US02170","Matanuska-Susitna Borough, Alaska","104709",
"0500000US02180","Nome Census Area, Alaska","9801",
"0500000US02185","North Slope Borough, Alaska","7898",
"0500000US02188","Northwest Arctic Borough, Alaska","7583",
"0500000US02195","Petersburg Borough, Alaska","3211",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","5716",
"0500000US02220","Sitka City and Borough, Alaska","8084",
"0500000US02230","Skagway Municipality, Alaska","1205",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","6196",
"0500000US02275","Wrangell City and Borough, Alaska","2106",
"0500000US02282","Yakutat City and Borough, Alaska","623",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5223",
"0500000US04001","Apache County, Arizona","64814",
"0500000US04003","Cochise County, Arizona","120344",
"0500000US04005","Coconino County, Arizona","133091",
"0500000US04007","Gila County, Arizona","52427",
"0500000US04009","Graham County, Arizona","35860",
"0500000US04011","Greenlee County, Arizona","9531",
"0500000US04012","La Paz County, Arizona","16381",
"0500000US04013","Maricopa County, Arizona","4350538",
"0500000US04015","Mohave County, Arizona","208927",
"0500000US04017","Navajo County, Arizona","104677",
"0500000US04019","Pima County, Arizona","1015933",
"0500000US04021","Pinal County, Arizona","402494",
"0500000US04023","Santa Cruz County, Arizona","47509",
"0500000US04025","Yavapai County, Arizona","232174",
"0500000US04027","Yuma County, Arizona","196533",
"0500000US05001","Arkansas County, Arkansas","16824",
"0500000US05003","Ashley County, Arkansas","18909",
"0500000US05005","Baxter County, Arkansas","41105",
"0500000US05007","Benton County, Arkansas","281319",
"0500000US05009","Boone County, Arkansas","36929",
"0500000US05011","Bradley County, Arkansas","10331",
"0500000US05013","Calhoun County, Arkansas","4576",
"0500000US05015","Carroll County, Arkansas","28022",
"0500000US05017","Chicot County, Arkansas","9529",
"0500000US05019","Clark County, Arkansas","18589",
"0500000US05021","Clay County, Arkansas","14389",
"0500000US05023","Cleburne County, Arkansas","24451",
"0500000US05025","Cleveland County, Arkansas","7481",
"0500000US05027","Columbia County, Arkansas","20768",
"0500000US05029","Conway County, Arkansas","20545",
"0500000US05031","Craighead County, Arkansas","107311",
"0500000US05033","Crawford County, Arkansas","59443",
"0500000US05035","Crittenden County, Arkansas","47655",
"0500000US05037","Cross County, Arkansas","16696",
"0500000US05039","Dallas County, Arkansas","6248",
"0500000US05041","Desha County, Arkansas","11354",
"0500000US05043","Drew County, Arkansas","16733",
"0500000US05045","Faulkner County, Arkansas","118748",
"0500000US05047","Franklin County, Arkansas","16817",
"0500000US05049","Fulton County, Arkansas","11912",
"0500000US05051","Garland County, Arkansas","98549",
"0500000US05053","Grant County, Arkansas","17806",
"0500000US05055","Greene County, Arkansas","44897",
"0500000US05057","Hempstead County, Arkansas","19771",
"0500000US05059","Hot Spring County, Arkansas","30693",
"0500000US05061","Howard County, Arkansas","12615",
"0500000US05063","Independence County, Arkansas","37081",
"0500000US05065","Izard County, Arkansas","12452",
"0500000US05067","Jackson County, Arkansas","14411",
"0500000US05069","Jefferson County, Arkansas","61659",
"0500000US05071","Johnson County, Arkansas","25300",
"0500000US05073","Lafayette County, Arkansas","6226",
"0500000US05075","Lawrence County, Arkansas","15615",
"0500000US05077","Lee County, Arkansas","6967",
"0500000US05079","Lincoln County, Arkansas","9242",
"0500000US05081","Little River County, Arkansas","11835",
"0500000US05083","Logan County, Arkansas","20756",
"0500000US05085","Lonoke County, Arkansas","73267",
"0500000US05087","Madison County, Arkansas","16362",
"0500000US05089","Marion County, Arkansas","16668",
"0500000US05091","Miller County, Arkansas","41220",
"0500000US05093","Mississippi County, Arkansas","39908",
"0500000US05095","Monroe County, Arkansas","6728",
"0500000US05097","Montgomery County, Arkansas","8365",
"0500000US05099","Nevada County, Arkansas","8122",
"0500000US05101","Newton County, Arkansas","7153",
"0500000US05103","Ouachita County, Arkansas","22270",
"0500000US05105","Perry County, Arkansas","9929",
"0500000US05107","Phillips County, Arkansas","16356",
"0500000US05109","Pike County, Arkansas","9949",
"0500000US05111","Poinsett County, Arkansas","22659",
"0500000US05113","Polk County, Arkansas","19127",
"0500000US05115","Pope County, Arkansas","60606",
"0500000US05117","Prairie County, Arkansas","8146",
"0500000US05119","Pulaski County, Arkansas","390255",
"0500000US05121","Randolph County, Arkansas","18238",
"0500000US05123","St. Francis County, Arkansas","19648",
"0500000US05125","Saline County, Arkansas","122116",
"0500000US05127","Scott County, Arkansas","9701",
"0500000US05129","Searcy County, Arkansas","7772",
"0500000US05131","Sebastian County, Arkansas","125993",
"0500000US05133","Sevier County, Arkansas","15713",
"0500000US05135","Sharp County, Arkansas","17081",
"0500000US05137","Stone County, Arkansas","12220",
"0500000US05139","Union County, Arkansas","38433",
"0500000US05141","Van Buren County, Arkansas","15737",
"0500000US05143","Washington County, Arkansas","236357",
"0500000US05145","White County, Arkansas","74169",
"0500000US05147","Woodruff County, Arkansas","6164",
"0500000US05149","Yell County, Arkansas","20015",
"0500000US06001","Alameda County, California","1628520",
"0500000US06003","Alpine County, California","1152",
"0500000US06005","Amador County, California","36163",
"0500000US06007","Butte County, California","206691",
"0500000US06009","Calaveras County, California","44831",
"0500000US06011","Colusa County, California","21646",
"0500000US06013","Contra Costa County, California","1154672",
"0500000US06015","Del Norte County, California","24673",
"0500000US06017","El Dorado County, California","189914",
"0500000US06019","Fresno County, California","990238",
"0500000US06021","Glenn County, California","28622",
"0500000US06023","Humboldt County, California","131956",
"0500000US06025","Imperial County, California","171233",
"0500000US06027","Inyo County, California","18408",
"0500000US06029","Kern County, California","880531",
"0500000US06031","Kings County, California","136991",
"0500000US06033","Lake County, California","67462",
"0500000US06035","Lassen County, California","23920",
"0500000US06037","Los Angeles County, California","9805329",
"0500000US06039","Madera County, California","149086",
"0500000US06041","Marin County, California","254578",
"0500000US06043","Mariposa County, California","16869",
"0500000US06045","Mendocino County, California","89961",
"0500000US06047","Merced County, California","276150",
"0500000US06049","Modoc County, California","8445",
"0500000US06051","Mono County, California","12890",
"0500000US06053","Monterey County, California","421213",
"0500000US06055","Napa County, California","132847",
"0500000US06057","Nevada County, California","100287",
"0500000US06059","Orange County, California","3133558",
"0500000US06061","Placer County, California","400278",
"0500000US06063","Plumas County, California","19665",
"0500000US06065","Riverside County, California","2382493",
"0500000US06067","Sacramento County, California","1550881",
"0500000US06069","San Benito County, California","63751",
"0500000US06071","San Bernardino County, California","2139459",
"0500000US06073","San Diego County, California","3183536",
"0500000US06075","San Francisco County, California","846073",
"0500000US06077","San Joaquin County, California","761157",
"0500000US06079","San Luis Obispo County, California","266132",
"0500000US06081","San Mateo County, California","755090",
"0500000US06083","Santa Barbara County, California","427530",
"0500000US06085","Santa Clara County, California","1896652",
"0500000US06087","Santa Cruz County, California","256335",
"0500000US06089","Shasta County, California","179110",
"0500000US06091","Sierra County, California","3204",
"0500000US06093","Siskiyou County, California","43487",
"0500000US06095","Solano County, California","442354",
"0500000US06097","Sonoma County, California","479997",
"0500000US06099","Stanislaus County, California","546381",
"0500000US06101","Sutter County, California","98640",
"0500000US06103","Tehama County, California","65029",
"0500000US06105","Trinity County, California","15853",
"0500000US06107","Tulare County, California","467865",
"0500000US06109","Tuolumne County, California","51863",
"0500000US06111","Ventura County, California","831695",
"0500000US06113","Yolo County, California","207773",
"0500000US06115","Yuba County, California","79172",
"0500000US08001","Adams County, Colorado","515108",
"0500000US08003","Alamosa County, Colorado","15435",
"0500000US08005","Arapahoe County, Colorado","649672",
"0500000US08007","Archuleta County, Colorado","13270",
"0500000US08009","Baca County, Colorado","3469",
"0500000US08011","Bent County, Colorado","4108",
"0500000US08013","Boulder County, Colorado","315407",
"0500000US08014","Broomfield County, Colorado","73615",
"0500000US08015","Chaffee County, Colorado","18165",
"0500000US08017","Cheyenne County, Colorado","1721",
"0500000US08019","Clear Creek County, Colorado","9329",
"0500000US08021","Conejos County, Colorado","7398",
"0500000US08023","Costilla County, Colorado","3494",
"0500000US08025","Crowley County, Colorado","3039",
"0500000US08027","Custer County, Colorado","4693",
"0500000US08029","Delta County, Colorado","30423",
"0500000US08031","Denver County, Colorado","699605",
"0500000US08033","Dolores County, Colorado","2072",
"0500000US08035","Douglas County, Colorado","356322",
"0500000US08037","Eagle County, Colorado","55624",
"0500000US08039","Elbert County, Colorado","25992",
"0500000US08041","El Paso County, Colorado","709911",
"0500000US08043","Fremont County, Colorado","40931",
"0500000US08045","Garfield County, Colorado","60583",
"0500000US08047","Gilpin County, Colorado","5768",
"0500000US08049","Grand County, Colorado","15519",
"0500000US08051","Gunnison County, Colorado","15879",
"0500000US08053","Hinsdale County, Colorado","788",
"0500000US08055","Huerfano County, Colorado","6717",
"0500000US08057","Jackson County, Colorado","1377",
"0500000US08059","Jefferson County, Colorado","574135",
"0500000US08061","Kiowa County, Colorado","1413",
"0500000US08063","Kit Carson County, Colorado","6994",
"0500000US08065","Lake County, Colorado","7327",
"0500000US08067","La Plata County, Colorado","53856",
"0500000US08069","Larimer County, Colorado","347412",
"0500000US08071","Las Animas County, Colorado","13835",
"0500000US08073","Lincoln County, Colorado","4697",
"0500000US08075","Logan County, Colorado","18367",
"0500000US08077","Mesa County, Colorado","151783",
"0500000US08079","Mineral County, Colorado","865",
"0500000US08081","Moffat County, Colorado","13173",
"0500000US08083","Montezuma County, Colorado","25560",
"0500000US08085","Montrose County, Colorado","42019",
"0500000US08087","Morgan County, Colorado","28647",
"0500000US08089","Otero County, Colorado","18267",
"0500000US08091","Ouray County, Colorado","4874",
"0500000US08093","Park County, Colorado","17362",
"0500000US08095","Phillips County, Colorado","4459",
"0500000US08097","Pitkin County, Colorado","17286",
"0500000US08099","Prowers County, Colorado","11631",
"0500000US08101","Pueblo County, Colorado","164588",
"0500000US08103","Rio Blanco County, Colorado","6304",
"0500000US08105","Rio Grande County, Colorado","11405",
"0500000US08107","Routt County, Colorado","24467",
"0500000US08109","Saguache County, Colorado","6334",
"0500000US08111","San Juan County, Colorado","705",
"0500000US08113","San Miguel County, Colorado","8063",
"0500000US08115","Sedgwick County, Colorado","2361",
"0500000US08117","Summit County, Colorado","30496",
"0500000US08119","Teller County, Colorado","24529",
"0500000US08121","Washington County, Colorado","4645",
"0500000US08123","Weld County, Colorado","323786",
"0500000US08125","Yuma County, Colorado","9787",
"0500000US09001","Fairfield County, Connecticut","938904",
"0500000US09003","Hartford County, Connecticut","876074",
"0500000US09005","Litchfield County, Connecticut","182192",
"0500000US09007","Middlesex County, Connecticut","157769",
"0500000US09009","New Haven County, Connecticut","836056",
"0500000US09011","New London County, Connecticut","258913",
"0500000US09013","Tolland County, Connecticut","136065",
"0500000US09015","Windham County, Connecticut","111969",
"0500000US10001","Kent County, Delaware","177770",
"0500000US10003","New Castle County, Delaware","554820",
"0500000US10005","Sussex County, Delaware","234613",
"0500000US11001","District of Columbia, District of Columbia","648863",
"0500000US12001","Alachua County, Florida","260839",
"0500000US12003","Baker County, Florida","25197",
"0500000US12005","Bay County, Florida","172151",
"0500000US12007","Bradford County, Florida","23984",
"0500000US12009","Brevard County, Florida","598622",
"0500000US12011","Broward County, Florida","1929434",
"0500000US12013","Calhoun County, Florida","11843",
"0500000US12015","Charlotte County, Florida","182939",
"0500000US12017","Citrus County, Florida","151007",
"0500000US12019","Clay County, Florida","215747",
"0500000US12021","Collier County, Florida","370914",
"0500000US12023","Columbia County, Florida","66097",
"0500000US12027","DeSoto County, Florida","30851",
"0500000US12029","Dixie County, Florida","14883",
"0500000US12031","Duval County, Florida","972681",
"0500000US12033","Escambia County, Florida","303189",
"0500000US12035","Flagler County, Florida","114574",
"0500000US12037","Franklin County, Florida","11001",
"0500000US12039","Gadsden County, Florida","41753",
"0500000US12041","Gilchrist County, Florida","16865",
