countyfips,periods,final_consumer_spending,average_consumer_spending,sd_consumer_spending,positive_consumer_spending,negative_consumer_spending,max_increase_consumer_spending,max_decrease_consumer_spending
1001,231,0.136,0.1620471341991342,0.1579894012029431,197,34,0.581,-0.354
1003,231,0.243,0.09452033766233767,0.1149411180013803,184,47,0.287,-0.373
1009,231,0.322,0.3287282683982684,0.21245925068430496,210,21,0.736,-0.364
1015,231,0.432,0.23352402597402597,0.15945248913153662,208,23,0.517,-0.309
1019,231,-0.12,-0.05125542424242424,0.1602522029036734,90,141,0.33,-0.475
1021,231,0.484,0.48324003896103895,0.25030876491836906,211,20,0.736,-0.249
1031,231,0.427,0.1741491341991342,0.12937828795446993,209,22,0.427,-0.328
1039,231,0.219,0.07765931601731602,0.1662911728088903,156,75,0.471,-0.318
1041,231,-0.0811,-0.13064922077922078,0.1535890702868016,40,191,0.528,-0.62
1045,231,0.227,0.20706483116883118,0.16128622295815026,213,18,0.736,-0.288
1047,231,0.169,0.132795341991342,0.11513429932576437,201,30,0.408,-0.3
1049,231,0.35,0.13301454545454544,0.18680140379473542,179,52,0.492,-0.347
1051,231,0.163,0.11740432900432901,0.13922622965754874,185,46,0.371,-0.349
1053,231,0.0505,-0.04167679653679654,0.19854814854478692,95,136,0.615,-0.68
1055,231,0.257,0.05098281818181818,0.11954019636798843,157,74,0.304,-0.324
1061,231,0.354,0.315799632034632,0.18275105022113888,215,16,0.736,-0.234
1067,231,0.429,0.4224672294372294,0.24735590238980193,216,15,0.736,-0.335
1069,231,0.524,0.31182766233766235,0.2189190664759136,209,22,0.736,-0.268
1071,231,0.174,0.14738497835497835,0.19890026380701342,174,57,0.662,-0.368
1073,231,0.46,0.2564850216450216,0.1761542322138397,209,22,0.565,-0.319
1081,231,-0.316,-0.19644151515151514,0.15531045853764194,30,201,0.346,-0.496
1089,231,0.244,0.09916880952380952,0.14759915398157472,177,54,0.359,-0.377
1095,231,0.24,0.06409698268398269,0.1463002042734752,157,74,0.481,-0.375
1097,231,0.204,0.15376922077922078,0.13587164950886457,197,34,0.382,-0.291
1101,231,0.304,0.1557878354978355,0.13880555256588495,207,24,0.448,-0.294
1103,231,0.479,0.1428435064935065,0.1781304468208834,177,54,0.566,-0.373
1105,231,0.59,0.3410279220779221,0.1867762960120149,218,13,0.711,-0.263
1109,231,0.467,0.26825103896103897,0.159285501896965,213,18,0.558,-0.232
1111,231,0.736,0.26439896103896104,0.22383866978105157,204,27,0.736,-0.419
1113,231,0.295,0.1647635064935065,0.11262121454449482,212,19,0.54,-0.334
1123,231,0.292,0.2161161038961039,0.17656708346409092,201,30,0.64,-0.34
2020,231,0.0381,0.033832207792207795,0.09488352531150623,168,63,0.227,-0.366
2090,231,0.187,0.10095160173160173,0.1210638590724344,186,45,0.489,-0.341
2110,231,-0.168,-0.09839804329004329,0.12051117297668092,45,186,0.316,-0.507
2122,231,0.235,0.1189335064935065,0.10747607954815969,200,31,0.326,-0.353
2150,231,0.19,0.01030261038961039,0.14546397969596003,121,110,0.357,-0.421
2170,231,0.012,0.04203189177489178,0.10483709575813935,162,69,0.33,-0.387
2220,231,-0.125,-0.20276796536796537,0.14093710195846573,13,218,0.353,-0.509
2240,231,-0.0556,0.09646588021645022,0.2550765615584595,143,88,0.736,-0.472
2261,231,-0.107,-0.0449649025974026,0.14952963843410788,84,147,0.327,-0.414
4001,231,0.253,0.08231473896103896,0.14459114226429354,173,58,0.504,-0.384
4003,231,0.138,0.03153179653679654,0.09179104220336624,153,78,0.228,-0.277
4005,231,0.387,0.18410380952380953,0.17939987113377684,194,37,0.561,-0.294
4007,231,0.129,0.05196602164502165,0.12668272513777998,168,63,0.306,-0.441
4009,231,0.303,0.22720334199134198,0.2380044924589156,182,49,0.736,-0.447
4012,231,0.338,0.1417974458874459,0.22258312506833774,167,64,0.713,-0.333
4013,231,0.174,0.071515670995671,0.10598119349720159,183,48,0.239,-0.329
4015,231,0.11,0.05307527272727273,0.09057626566125555,178,53,0.224,-0.314
4017,231,0.47,0.18618497402597403,0.18032773280998857,195,36,0.571,-0.275
4019,231,0.116,0.031581372294372294,0.07867319591637024,160,71,0.178,-0.312
4021,231,0.14,0.06692197272727272,0.09139775295688805,184,47,0.21,-0.287
4023,231,0.0121,-0.0037046753246753245,0.11089151840288992,143,88,0.205,-0.481
4025,231,0.0612,0.05641541558441558,0.09779751960591851,179,52,0.2,-0.296
4027,231,0.204,0.123584329004329,0.1124339275785715,198,33,0.296,-0.284
5001,231,-0.027,0.029559393506493507,0.18440390004868495,136,95,0.478,-0.527
5003,231,0.736,0.2388047186147186,0.29752177762422927,179,52,0.736,-0.501
5031,231,0.424,0.3395629090909091,0.264485629904941,196,35,0.736,-0.254
5063,231,0.545,0.4509807359307359,0.34832506908979805,189,42,0.736,-0.407
5067,231,0.162,-0.054432987012987016,0.18341990136247913,81,150,0.456,-0.447
5091,231,0.27,0.0915091251082251,0.17324799930206602,163,68,0.525,-0.44
5143,231,0.28,0.1790582445887446,0.19914792886552438,185,46,0.645,-0.345
6001,231,0.00145,-0.03777154848484848,0.08302292004627651,89,142,0.0973,-0.379
6005,231,-0.0584,-0.06110484805194805,0.09986703192496112,58,173,0.192,-0.379
6007,231,0.158,0.05743199822510823,0.092464577636425,183,48,0.238,-0.323
6009,231,0.139,0.0520174329004329,0.10805451424380176,177,54,0.326,-0.365
6011,231,-0.0717,-0.022726839826839828,0.12574504214607315,98,133,0.312,-0.395
6013,231,0.0145,-0.0387465619047619,0.08287845909036093,86,145,0.0994,-0.379
6017,231,0.0832,0.03783474025974026,0.09696883004756277,170,61,0.23,-0.354
6019,231,0.181,0.11047102294372295,0.11288311084310733,193,38,0.243,-0.318
6021,231,0.232,0.179872987012987,0.1811920254368512,191,40,0.736,-0.448
6023,231,0.0593,0.05007949350649351,0.09804241564373932,172,59,0.232,-0.292
6025,231,0.0827,0.05197424675324675,0.11598754145306212,180,51,0.285,-0.43
6027,231,0.0685,0.13336727272727272,0.1735670798878362,177,54,0.573,-0.419
6029,231,0.0813,0.03993533333333334,0.09532316112488391,184,47,0.199,-0.339
6031,231,-0.0659,-0.054389402597402596,0.09378030238547498,61,170,0.202,-0.428
6033,231,0.0346,0.009290086580086579,0.1079901381162483,138,93,0.284,-0.299
6035,231,-0.248,0.15523043722943722,0.34164779180131793,151,80,0.736,-0.629
6037,231,-0.00295,-0.056820103896103896,0.08631149524145232,48,183,0.0662,-0.408
6039,231,0.148,-0.005639464502164502,0.09921982522148898,128,103,0.215,-0.429
6041,231,-0.023,-0.04509278354978355,0.07572875788333613,59,172,0.0613,-0.385
6043,231,0.417,0.12452679653679653,0.1785989032712497,176,55,0.579,-0.333
6045,231,-0.0335,-0.01907938961038961,0.084623603965235,104,127,0.156,-0.314
6047,231,0.127,0.039966974025974024,0.09999216449532529,173,58,0.274,-0.362
6051,231,-0.233,-0.14073048484848485,0.15548653755726413,40,191,0.305,-0.515
6053,231,-0.00931,-0.013686580086580087,0.08162049367131391,125,106,0.128,-0.371
6055,231,-0.0188,-0.045660013852813854,0.08729319771011085,66,165,0.156,-0.388
6057,231,0.0555,0.024489142857142855,0.08974927752671026,163,68,0.187,-0.288
6059,231,0.0611,0.010528225108225108,0.09766981749468337,163,68,0.154,-0.379
6061,231,0.0398,-0.0062032813852813855,0.08260098166746672,144,87,0.128,-0.354
6063,231,-0.256,-0.013546147186147186,0.19370853711373553,116,115,0.631,-0.578
6065,231,0.104,0.02470935930735931,0.09194251044744772,173,58,0.156,-0.36
6067,231,0.0285,-0.0029222164502164505,0.0855193899819414,155,76,0.146,-0.355
6069,231,-0.0423,-0.0018146190476190471,0.10319390584059145,135,96,0.198,-0.41
6071,231,0.0533,0.01600321645021645,0.09106651224622625,173,58,0.128,-0.355
6073,231,0.0778,-0.01314354935064935,0.09518575540039997,138,93,0.113,-0.408
6075,231,-0.0512,-0.10106181818181818,0.08408655654420896,9,222,0.0316,-0.445
6077,231,0.00502,-0.004882324675324675,0.08730697187422262,141,90,0.134,-0.364
6079,231,0.0252,-0.009508064935064935,0.09545964395742514,139,92,0.164,-0.419
6081,231,-0.0247,-0.0744044935064935,0.08630878333104822,25,206,0.0602,-0.427
6083,231,0.0598,0.004007961904761904,0.10771071369246633,160,71,0.172,-0.385
6085,231,0.0402,-0.014990411255411255,0.09444120971395105,139,92,0.117,-0.386
6087,231,0.0155,-0.011127580086580087,0.08087858800718488,128,103,0.128,-0.347
6089,231,0.0309,-0.00759064935064935,0.08627011618224616,130,101,0.15,-0.304
6093,231,0.0632,0.09356338528138528,0.15405846952031627,170,61,0.501,-0.407
6095,231,0.0724,0.004057761904761904,0.09305291766637773,158,73,0.153,-0.351
6097,231,0.0168,-0.042490493506493504,0.07809442340586505,73,158,0.0872,-0.372
6099,231,0.0437,0.014351099567099566,0.09309847158631203,170,61,0.164,-0.361
6101,231,0.16,0.024536238095238097,0.12952579613833357,151,80,0.361,-0.394
6103,231,0.00621,-0.04428300865800866,0.09883915896088745,75,156,0.174,-0.406
6107,231,0.141,-2.3714285714285742e-4,0.09606316516421089,139,92,0.145,-0.367
6109,231,0.11,0.04391098398268398,0.12619020125956848,166,65,0.314,-0.446
6111,231,0.00597,-0.032387679653679655,0.08452816356149907,94,137,0.131,-0.362
6113,231,-0.0434,-0.02661952380952381,0.08752387485579154,104,127,0.139,-0.351
6115,231,-0.0378,-0.021599757575757574,0.10335007233241246,104,127,0.203,-0.465
8001,231,0.135,0.08206029004329005,0.09602477450998659,194,37,0.221,-0.344
8003,231,0.0654,0.07076271861471861,0.07305957626945733,203,28,0.285,-0.239
8005,231,0.167,0.08555648051948052,0.10641321308991789,194,37,0.232,-0.366
8007,231,0.16,0.23759441558441557,0.17471728289733257,208,23,0.581,-0.35
8013,231,0.0665,-0.008872558441558442,0.09808223984677705,135,96,0.126,-0.392
8014,231,0.00162,-0.00788682683982684,0.10180120699248318,135,96,0.174,-0.416
